COMPANY;FUND;INVESTMENT MIN;INVESTMENT MAX;COUNTRY;ADDRESS;ZIP;CITY;STATE;PHONE;FAX;EMAIL;WEBSITE;STAGE;INDUSTRY PREFERENCES;INVESTOR TYPES;COMMENTS;MANAGEMENT TEAMNAME;PHONES;EMAILS
3TS Venture Partners Bucharest;340000000;20000000;20000000;Romania;55, Clucerului St., 1st floor;RO-011367;Bucharest;;+40 3 1100 0259;+40 3 1100 0260;bucharest@3tscapital.com;http://3tscapital.com/;Management Buyout,Expansion,Leveraged Buyout;Business Services,Energy & Natural Resources,Environment,Financial Services,Healthcare,Media & Entertainment (Including Television, Radio, Newspapers, Internet & Film Production),Technology,Telecommunication;Venture Capital Firm,Private Equity Firm;3TS's geographic preferences are the greater Central and Eastern Europe.  The primary countries that 3TS makes investments in include Austria, Poland, the Czech Republic, Slovakia, Hungary, Slovenia, Croatia, Serbia, Romania, Bulgaria, Lithuania, Latvia.;;;
Opus Capital Ventures;1000000000;20000000;20000000;United States of America;2730 Sand Hill Road, Suite 150;94025;Menlo Park;California;650.543.2900;(650)561-9570;contact@opuscapital.com;http://www.opuscapitalventures.com/;Early Stage;Biotechnology,Business Products,Business Services,Cleantech,Computer Hardware,Distribution,Education,Diversified,Electronics,Communication & Computer Networks,Consumer Products,Financial Services,Food and Beverage (Including: Restaurant, coffee, Bakery, Bar, Buffer, Deli, Fast Food & Ice cream),Healthcare,Industrial Services,Internet,IT Services,Leisure Products and Services,Media & Entertainment (Including Television, Radio, Newspapers, Internet & Film Production),Semiconductors,Software,Telecommunication,Tourism & Hotels;Venture Capital Firm;;Dan Avida, General Partner,BOB BORCHERS, General Partner ,Gill Cogan, General Partner,Ken Elefant, General Partner,Carl Showalter, General Partner;650.543.2900,650.543.2900,650.543.2900,650.543.2900,650.543.2900;dan@opuscapital.com,bob@opuscapital.com,gill@opuscapital.com,ken@opuscapital.com,carl@opuscapital.com
AAC Capital Partners Amsterdam;1660000000;500000000;500000000;Netherlands;ITO Tower – 22nd floor, Gustav Mahlerplein 106;1082 MA;Amsterdam;;+31 (0)20 333 1300;NA;InfoNL@aaccapital.com;http://www.aaccapitalpartners.com/;Management Buyout,Leveraged Buyout;Consumer Products,Consumer Services,Industrial Services;Private Equity Firm;AAC Capital Partners main geographic preferences are the northern parts of Europe, such as the British Isles, the Benelux Countries, and Scandinavia.;;;
AAVIN Private Equity;300000000;10000000;10000000;United States of America;118 3rd Ave SE, Suite 630;52401;Cedar Rapids;Iowa;(319) 247-1072;(319)363-9519;inquiries@aavin.com;https://www.aavin.com/;Early Stage,Later Stage,Management Buyout,Expansion,Leveraged Buyout,StartUp;Computer Services,Computer Hardware,Distribution,Diversified,Electronics,Communication & Computer Networks,Consumer Products,Consumer Services,Financial Services,Healthcare,Industrial Products,Industrial Services,Manufacturing,Medical Devices,Medical Services,Software,Telecommunication,Transportation;Private Equity Firm;AAVIN Private Equity's primary geographic preference is the central United States between the Appellations and the Rocky Mountain Ranges.;JAMES D. THORP, Managing Partner,ERIC M. HENDER, Senior Partner,KIRK E. KAALBERG, Senior Partner,PAUL D. RHINES, Senior Partner,THIES O. KOLLN, Partner;(319)247-1072,(319)247-1072,(319)247-1072,(319)247-1072,(319)247-1072;jthorp@aavin.com,ehender@aavin.com,kkaalberg@aavin.com,prhines@aavin.com,tkolln@aavin.com
ABRY Partners;2750000000;150000000;150000000;United States of America;111 Huntington Avenue;02199;Boston;Massachusetts;(617)859-2959;(617)859-8797;information@abry.com; www.abry.com;Management Buyout,Expansion,Leveraged Buyout,Mezzanine,Recapitalization;Business Services,Education,Communication & Computer Networks,Healthcare,Media & Entertainment (Including Television, Radio, Newspapers, Internet & Film Production);Private Equity Firm;;Andrew Banks, Founder and Chairman,Royce Yudkoff, Founder and President,Jay Grossman, Managing Partner,Peggy Koenig, Managing Partner,Erik Brooks, Partner,C. J. Brucato, Partner,John Connor, Partner,Peni Garber, Partner,John Hunt, Partner,Rob MacInnis, Partner,Blake Battaglia, Principal,Hilary Grove, Principal,Brian St. Jean, Principal,Brent Stone, Principal,Debbie Johnson, CFO;(617)859-2959,(617)859-2959,(617)859-2959,(617)859-2959,(617)859-2959,(617)859-2959,(617)859-2959,(617)859-2959,(617)859-2959,(617)859-2959,(617)859-2959,(617)859-2959,(617)859-2959,(617)859-2959,(617)859-2959;information@abry.com,ryudkoff@abry.com,jgrossman@abry.com,pkoenig@abry.com,ebrooks@abry.com,cbrucato@abry.com,jconnor@abry.com,pgarber@abry.com,jhunt@abry.com,rmacinnis@abry.com,bbattaglia@abry.com,hgrove@abry.com,bstjean@abry.com,bstone@abry.com,djohnson@abry.com
ABS Capital Baltimore;2000000000;30000000;30000000;United States of America;400 East Pratt Street, Suite 910;21202-3127;Baltimore;Maryland;410.246.5600;(410)246-5606;abscapital@abscapital.com;http://www.abscapital.com/;Early Stage,Later Stage,Management Buyout,Leveraged Buyout,Mezzanine;Business Products,Business Services,Communication & Computer Networks,Consumer Services,Healthcare,Internet,Media & Entertainment (Including Television, Radio, Newspapers, Internet & Film Production),Software,Technology;Private Equity Firm; ;Phil Clough, Managing General Partner,Mark Anderson, General Partner,Deric Emry, General Partner,Ralph Terkowitz, General Partner,Laura Witt, General Partner,Tim Weglicki, Founding Partner,Cal Wheaton, General Partner,James Stevenson, Chief Financial Officer,Paul Mariani, Principal,Rob Tobin, Vice President;(410)246-5600,(410)246-5600,(410)246-5600,(410)246-5600,(410)246-5600,(410)246-5600,(410)246-5600,(410)246-5600,(410)246-5600,(410)246-5600;pclough@abscapital.com,manderson@abscapital.com,demry@abscapital.com,rterkowitz@abscapital.com,lwitt@abscapital.com,tweglicki@abscapital.com,cwheaton@abscapital.com,jstevenson@abscapital.com,pmariani@abscapital.com,rtobin@abscapital.com
Accent Capital Partners;500000000;50000000;50000000;United States of America;One Ferry Building, Suite 210;94111;San Francisco;California;415-981-7200;NA;milt@accentcapitalpartners.com;http://www.accentcapitalpartners.com/;Management Buyout,Expansion,Leveraged Buyout,Restructuring;Business Services,Consumer Products,Manufacturing,Real Estate, Construction & Infrastructure;Private Equity Firm;;Milton K. Reeder, Managing Partner,James T. Given, Partner,John Cirigliano, Special Advisor;(415)981-7200,(415)981-7200,(415)981-7200;milt@accentcapitalpartners.com
ACI Capital Co., LLC;1000000000;50000000;50000000;United States of America;666 Third Avenue, 29th Floor;10017;New York;New York;212.634.3333;(212)634-3330;smcdade@acicapital.com;http://www.acicapital.com/;Management Buyout,Consolidation,Expansion,Leveraged Buyout,Mezzanine;Business Services,Consumer Products,Energy & Natural Resources,Financial Services,Food & Ingredients,Food and Beverage (Including: Restaurant, coffee, Bakery, Bar, Buffer, Deli, Fast Food & Ice cream),Healthcare,Industrial Services,Leisure Products and Services,Manufacturing,Media & Entertainment (Including Television, Radio, Newspapers, Internet & Film Production),Real Estate, Construction & Infrastructure,Transportation;Private Equity Firm,Private Investor;ACI's geographic preference is North America and invests only in companies who are either headquartered or have major operations within North America.;Hunter Reisner, Managing Director,Matthew Bronfman, Managing Director,Michael Manasse, Managing Director,Mitchell Quain, Managing Director,Mira Muhtadie, Vice President,Chad Ellis, Associate,Kenneth Stark, Associate;(212)634-3322,(212)634-3322,(212)634-3322,(212)634-3322,(212)634-3322,(212)634-3322,(212)634-3322;hreisner@acicapital.com,mbronfman@acicapital.com,mmanasse@acicapital.com,mquain@acicapital.com,mmuhtadie@acicapital.com,cellis@acicapital.com,kstark@acicapital.com
ACON Investments, Washington, D.C.;500000000;150000000;150000000;United States of America;1133 Connecticut Ave. NW Suite 700;20036;Washington;District of Columbia;(202) 454-1100;(202) 454-1101;baronson@aconinvestments.com;http://www.aconinvestments.com/;Later Stage,Expansion,Leveraged Buyout,Recapitalization;Distribution,Diversified,Energy & Natural Resources,Financial Services,Media & Entertainment (Including Television, Radio, Newspapers, Internet & Film Production),Retail and wholesale;Private Equity Firm,Business Lender;;BERNARD ARONSON, Founder and Managing Partner,JOHN MORGAN BARR, Principal,MO BAWA, Principal,ANDRE BHATIA, Partner  ,ROBERT BOWMAN, Senior Accountant ,GUILLERMO BRON, Managing Partner,KEN BROTMAN, Founder and Managing Partner,MAURICIO CORTÉS, Principal,PAULETTE BROWN, Controller,GINO DELLOMO, Associate,JORGE DICKENS, Partner  ,JONATHAN GINNS, Founder and Managing Partner;(202)454-1100,(202)454-1100,(202)454-1100,(202)454-1100,(202)454-1100,(202)454-1100,(202)454-1100,(202)454-1100,(202)454-1100,(202)454-1100,(202)454-1100,(202)454-1100;baronson@aconinvestments.com,jbarr@aconinvestments.com,mbawa@aconinvestments.com,abhatia@aconinvestments.com,rbowman@aconinvestments.com,gbron@aconinvestments.com,kbrotman@aconinvestments.com,mcortes@aconinvestments.com,pbrown@aconinvestments.com,gdellomo@aconinvestments.com,jdickens@aconinvestments.com,jginns@aconinvestments.com
Actera Group;500000000;75000000;75000000;Turkey;Stratejik Yonetim Hizmetleri A.S. Kizilserce Sokak No 30;34810;Anadolu Hisari, Istanbul;;+90 (216) 516 0100;+90 (216) 516 0101;info@acteragroup.com;http://www.acteragroup.com/;Early Stage,Later Stage,Management Buyout,Expansion,Leveraged Buyout;Distribution,Food and Beverage (Including: Restaurant, coffee, Bakery, Bar, Buffer, Deli, Fast Food & Ice cream),Media & Entertainment (Including Television, Radio, Newspapers, Internet & Film Production);Venture Capital Firm,Private Equity Firm;Actera's primary geographic preference is in Turkey, but will sometimes invest in Eastern Europe and the Middle East.;Turker Tekten, CFO,Yagiz Cekin, Director,Selmi Haleva, Director,Isak Antika, Partner,Murat Cavusoglu, Managing Partner;+90 (216) 516 0100,+90 (216) 516 0100,+90 (216) 516 0100,+90 (216) 516 0100,+90 (216) 516 0100;info@acteragroup.com,info@acteragroup.com,info@acteragroup.com,info@acteragroup.com,info@acteragroup.com
Actis Capital, London;7300000000;100000000;100000000;United Kingdom;2 More London Riverside;SE1 2JT;London;England;+44 20 7234 5000;+44 20 7234 5010;info@act.is;http://www.act.is/;Later Stage,Expansion,Mezzanine;Business Services,Cleantech,Distribution,Consumer Products,Consumer Services,Energy & Natural Resources,Environment,Industrial Services,Real Estate, Construction & Infrastructure,Transportation;Private Equity Firm;Actis Capital is a private equity firm that invests globally.  The primary area of investment is Latin and South America, South East Asia, Africa, and India.;;;
Actis Capital, Beijing;7300000000;100000000;100000000;China/Honk Kong/Macau;712 China World Tower 2 No 1 Jianguomenwai Street Chaoyang District;100004;Beijing;;+86 10 6535 4800;+86 10 6505 8111;malim@act.is;http://www.act.is/;Later Stage,Expansion,Mezzanine;Business Services,Cleantech,Distribution,Consumer Products,Consumer Services,Energy & Natural Resources,Environment,Financial Services,Industrial Services,Real Estate, Construction & Infrastructure,Transportation;Private Equity Firm;Actis Capital is a private equity firm that invests globally.  The primary area of investment is Latin and South America, South East Asia, Africa, and India.;Benjamin Cheng, Partner,Meng Ann Lim, Partner,Jiansheng Wang, Partner;+86 10 6535 4800,+86 10 6535 4800,+86 10 6535 4800;info@act.is,info@act.is,info@act.is
Actis Capital, Cairo;7300000000;100000000;100000000;Egypt;Actis 9th Floor 20 Aisha El Taymoria St. 9th Floor, Garden City;;Cairo;;+202 2792 9220;+202 2792 9092;rphillips@act.is;http://www.act.is/;Later Stage,Expansion,Mezzanine;Business Services,Cleantech,Distribution,Diversified,Consumer Products,Consumer Services,Energy & Natural Resources,Environment,Industrial Services,Real Estate, Construction & Infrastructure,Transportation;Private Equity Firm;Actis Capital is a private equity firm that invests globally.  The primary area of investment is Latin and South America, South East Asia, Africa, and India.;Rick Phillips, Partner;+202 2792 9220;rphillips@act.is
Actis Capital, Johannesburg;6500000000;100000000;100000000;South africa;1st Floor 21 Cradock Heights Cradock Avenue cnr Tyrwhitt Avenue Rosebank;2196;Johannesburg;;+27 11 778 5900;+27 11 327 7407;info@act.is;http://www.act.is/;Later Stage,Expansion,Mezzanine;Business Services,Cleantech,Consumer Products,Consumer Services,Energy & Natural Resources,Enthusiast, Craft & Hobby Products,Environment,Financial Services,Healthcare,Industrial Products,Industrial Services,Insurance,Leisure Products and Services,Medical Services,Mining,Pharmaceuticals,Real Estate, Construction & Infrastructure,Technology,Transportation;Private Equity Firm;Actis Capital is a private equity firm that invests globally.  The primary area of investment is Latin and South America, South East Asia, Africa, and India.;Natalie Kolbe, Partner,David Cooke, Director,Louis Deppe, Director;;
Actis Capital, São Paulo;7300000000;100000000;100000000;Brazil;Rua São Tomé, 86 Cj.171  Vila Olimpía;CEP 04551-080;São Paulo - SP;;+55 11 3844 6300;+55 11 3844 6301;pledoux@act.is;http://www.act.is/;Later Stage,Expansion,Mezzanine;Business Services,Cleantech,Distribution,Consumer Products,Consumer Services,Energy & Natural Resources,Environment,Industrial Services,Real Estate, Construction & Infrastructure;Private Equity Firm;Actis Capital is a private equity firm that invests globally.  The primary area of investment is Latin and South America, South East Asia, Africa, and India.;Chu Kong, Partner,Patrick Ledoux, Partner;+55 11 3844 6300,+55 11 3844 6300;ckong@act.is,pledoux@act.is
Actis Capital, Mumbai;7300000000;100000000;100000000;India;4th Floor Thapar House  Dr. Annie Besant Road  Worli;400 030;Mumbai;;+91 22 6146 7900;+91 22 2423 1549;jtrivedi@act.is;http://www.act.is/;Later Stage,Expansion,Mezzanine;Business Services,Cleantech,Distribution,Consumer Products,Consumer Services,Energy & Natural Resources,Environment,Industrial Services,Real Estate, Construction & Infrastructure;Private Equity Firm;Actis Capital is a private equity firm that invests globally.  The primary area of investment is Latin and South America, South East Asia, Africa, and India.;Steven Enderby, Partner,G. Rathiman, Partner,J. M. Trivedi,Mahesh CHHABRIA, Partner;+91 22 6146 7900,+91 22 6146 7900,+91 22 6146 7900,+91 22 6146 7900;jtrivedi@act.is,jtrivedi@act.is,jtrivedi@act.is,jtrivedi@act.is
Acuity Capital Partners, LLC;450000000;50000000;50000000;United States of America;G.R. Kearney 180 N. Stetson Ave. Suite 3500 ;60601;Chicago;Illinois;(312) 268-5749;(312) 276-4411;info@acuitycapllc.com;http://www.acuitycapllc.com/;Later Stage,Management Buyout,Consolidation,Expansion,Leveraged Buyout;Diversified,Enthusiast, Craft & Hobby Products,Financial Services,Food and Beverage (Including: Restaurant, coffee, Bakery, Bar, Buffer, Deli, Fast Food & Ice cream),Healthcare,Insurance,IT Services,Leisure Products and Services,Life Sciences,Manufacturing,Media & Entertainment (Including Television, Radio, Newspapers, Internet & Film Production),Retail and wholesale,Technology,Tourism & Hotels,Transportation;Private Investor;;Justin Heyman, Partner,John Jeffries, Partner,Jeff Temple, Partner,Steve Tighe, Partner,Tim Van Mieghem, Partner;(312) 268-5749,(312) 268-5749,(312) 268-5749,(312) 268-5749,(312) 268-5749;jheyman@acuitycapllc.com,jjeffries@acuitycapllc.com,jtemple@acuitycapllc.com,stighe@acuitycapllc.com,tvanmieghem@acuitycapllc.com
Actis Capital, Singapore;7300000000;50000000;50000000;Singapore;16 Collyer Quay #29-01 Hitachi Tower;049318;Singapore;;+65 6416 6400;+65 6227 1004;gaddison@act.is;http://www.act.is/;Later Stage,Management Buyout,Consolidation,Expansion,Leveraged Buyout,Mezzanine;Business Services,Cleantech,Consumer Products,Consumer Services,Environment,Industrial Services,Real Estate, Construction & Infrastructure;Private Equity Firm;Actis Capital is a private equity firm that invests globally.  The primary area of investment is Latin and South America, South East Asia, Africa, and India.;Gary Addison,Robert McGregor, Parnter;+65 6416 6400,+65 6416 6400;abranigan@act.is,abranigan@act.is
Adams Street Partners, Ltd. London;1000000000;50000000;50000000;United Kingdom;Adams Street Partners, Ltd. 20 Grosvenor Place;SW1X 7HN;London;England;+44 20 7659 7700;+44 20 7659 7701;Request@adamsstreetpartners.com;http://www.adamsstreetpartners.com/;Early Stage,Later Stage,Seed,Expansion,Leveraged Buyout,Mezzanine,Restructuring,StartUp;Biotechnology,Computer Hardware,Healthcare,IT Services,Medical Devices,Medical Services,Semiconductors,Software,Technology;Venture Capital Firm,Private Equity Firm;Adams Street Partners is a global investor and invests internationally.  The firm has its headquarters in Chicago, Illinois and offices in London  Singapore  and Menlo Park, California.;;;
Adams Street Partners, Inc. Menlo Park;1100000000;30000000;30000000;United States of America;2500 Sand Hill Road, Suite 100;94025;Menlo Park;California;(650) 331-4860;(650)331-4861;Request@adamsstreetpartners.com;http://www.adamsstreetpartners.com/;Early Stage,Later Stage,Seed,Expansion,Leveraged Buyout,Mezzanine,Restructuring,StartUp;Biotechnology,Computer Hardware,Healthcare,IT Services,Medical Devices,Medical Services,Semiconductors,Software,Technology;Venture Capital Firm,Private Equity Firm;Adams Street Partners is a global investor and invests internationally.  The firm has its headquarters in Chicago, Illinois and offices in London  Singapore  and Menlo Park, California.;Kelly Meldrum, CFA Partner,Michael Lynn, MD, Partner,Robin Murray, Partner,Nancy Thomsen, Office Manager,David Welsh, Partner,Priscilla Colaninno, Executive Assistant,Gregory Kapp, Associate ,Mike Zappert, Senior Associate;(650)331-4860,(650)331-4860,(650)331-4860,(650)331-4860,(650)331-4860,(650)331-4860,(650)331-4860,(650)331-4860;kmeldrum@adamsstreetpartners.com,mlynn@adamsstreetpartners.com,rmurray@adamsstreetpartners.com,nthomsen@adamsstreetpartners.com,dwelsh@adamsstreetpartners.com
Advantage Capital Partners;1300000000;2000000;2000000;United States of America;909 Poydras Street Suite 2230;70112;New Orleans;Louisiana;(504) 522-4850;(504) 522-4950;information@advantagecap.com;http://www.advantagecap.com/;Early Stage,Seed,Expansion,StartUp;Business Services,Cleantech,Computer Services,Computer Hardware,Diversified,Communication & Computer Networks,Consumer Services,Energy & Natural Resources,Financial Services,IT Services,Life Sciences,Manufacturing,Real Estate, Construction & Infrastructure,Software,Technology;Venture Capital Firm,Private Equity Firm,Business Lender;Advantage Capital Partners has its geographic preferences within the markets of the states where it has branch offices.  These states include Louisiana, Missouri, Mississippi, New York, Texas, and Washington DC.; Lester F. Alexander III, Senior Vice President,Franchesca B. Lorio, Vice President/Controller,Charles H. Booker, Senior Vice President,Justin N. Obletz, Vice President,Crichton W. Brown, Managing Director,Michael T. Johnson, Managing Director;(504) 522-4850,(504) 522-4850,(504) 522-4850,(504) 522-4850,(504) 522-4850,(504) 522-4850;lalexander@advantagecap.com,florio@advantagecap.com,cbooker@advantagecap.com,jobletz@advantagecap.com,cbrown@advantagecap.com,mjohnson@advantagecap.com
Advantage Capital Partners, New York;1300000000;20000000;20000000;United States of America;5 Warren Street,  Suite 204;12801;Glens Falls;New York;(518) 743-0060;(518) 743-1787;information@advantagecap.com;http://www.advantagecap.com/;;Biotechnology,Cleantech,Energy & Natural Resources,IT Services,Life Sciences,Technology;Venture Capital Firm,Private Equity Firm,Business Lender;Advantage Capital Partners has its geographic preferences within the markets of the states where it has branch offices.  These states include Louisiana, Missouri, Mississippi, New York, Texas, and Washington DC.; Reid C. Hutchins, Vice President,Thomas W. Keaveney, Board Member and Senior Advisor,Christopher C. Harris Senior Associate;(518) 743-0060,(518) 743-0060,(518) 743-0060;rhutchins@advantagecap.com,tkeaveney@advantagecap.com,charris@advantagecap.com
Advantage Capital Partners, Washington DC;1300000000;2000000;2000000;United States of America;2445 M St, NW Suite 234 ;20037;Washington;District of Columbia;(202) 457-4190;(202) 457-4191;information@advantagecap.com;http://www.advantagecap.com/;;Biotechnology,Cleantech,Energy & Natural Resources,IT Services,Life Sciences;Venture Capital Firm,Private Equity Firm,Business Lender;Advantage Capital Partners has its geographic preferences within the markets of the states where it has branch offices.  These states include Louisiana, Missouri, Mississippi, New York, Texas, and Washington DC.; Douglas R. Beekman, Principal;(202) 337-0034;dbeekman@advantagecap.com
AEA Investors (UK) Limited;4200000000;;;United Kingdom;78 Brook Street;W1K 5EF;London;England;+44 (20) 7659 7800;+44 (20) 7491 2155;info@aeainvestors.com;http://www.aeainvestors.com/;Leveraged Buyout,Mezzanine;Education,Diversified,Consumer Products,Food & Ingredients,Industrial Services,Medical Devices,Pharmaceuticals,Real Estate, Construction & Infrastructure;Private Equity Firm,Business Lender;AEA Investments has a global geographic preference and has entities in Munich, London, Hong Kong, and Shanghai.;;;
AEA Investors (Asia) Limited, Shanghai Office;4200000000;100000000;100000000;China/Honk Kong/Macau;Suite 1901, 19/F  Chong Hing Finance Center, 288 Nanjing Road West;200003;Shanghai;; +86-21-2308-7888;+86-21-2308-7880;info@aeainvestors.com;http://www.aeainvestors.com/;Management Buyout,Expansion,Leveraged Buyout,Mezzanine;Education,Diversified,Consumer Products,Food & Ingredients,Industrial Services,Medical Devices,Pharmaceuticals,Real Estate, Construction & Infrastructure;Private Equity Firm,Business Lender;AEA Investments has a global geographic preference and has entities in Munich, London, Hong Kong, and Shanghai.;Ping Zhang, Managing Director;+86-21-2308-7888;pzhang@aeainvestors.com
AEA Investors (Asia) Limited, Hong Kong Office;4200000000;100000000;100000000;China/Honk Kong/Macau;Suite 3001, 30/F Gloucester Tower, The Landmark 15 Queen's Road Central;;Hong Kong;;+852 3556 8888;+852 3356 8808;info@aeainvestors.com;http://www.aeainvestors.com/;Later Stage,Management Buyout,Expansion,Leveraged Buyout,Mezzanine;Education,Diversified,Consumer Products,Food & Ingredients,Industrial Services,Medical Devices,Pharmaceuticals,Real Estate, Construction & Infrastructure;Private Equity Firm;AEA Investments has a global geographic preference and has entities in Munich, London, Hong Kong, and Shanghai.;William A. Owens, Managing Director,Shivanandan Dalvie, Managing Director, Susan Shui-Shien Lin, Managing Director;+852 3556 8888,+852 3556 8888,+852 3556 8888;bowens@aeainvestors.com,sdalvie@aeainvestors.com,slin@aeainvestors.com
Startup Factory;110000000;15000000;15000000;Israel;Rogovin-Tidhar Tower, 15th Floor, 11 Menachem Begin Street  ;52521;Ramat Gan;; 054-303-0498;03-620-2708 ;info@startupfactory.co.il;http://www.startupfactory.co.il/;Early Stage,Seed,StartUp;Communication & Computer Networks,Internet,Software,Technology,Cellular (applications, devices and infrastructure) ;;;Tamar Cohen – CEO ,Carmel Vernia – Founder, Chairman,Ofer Ariely – Founder;054-303-0498,054-303-0498,054-303-0498;info@startupfactory.co.il,info@startupfactory.co.il,info@startupfactory.co.il
